user_id,item_id,Rating
2642,BBBCAP50,1
2642,BBBSR2300,1
2642,BBBSR2340,1
2642,BBBTSH94,1
2642,BBBTSH120,1
2642,BBBTSH138,1
2642,BBGTSH118,1
2642,BBGTSH158,1
2642,BBGTSH198,1
2642,FEMBAG703,1
2642,FEMBAG829,1
2642,FEMBAG999,2
2642,FEMBAG1099,2
2642,FEMBAG1199,3
2642,FEMBAG1279,2
2642,FEMBAG1299,1
2642,FEMBAG1399,2
2642,FEMBAG1499,1
2642,FEMBAG1599,2
2642,FEMBAG1799,2
2642,FEMJKT200,1
2642,FEMJN1100,1
2642,FEMJN1200,2
2642,FEMJNS100,2
2642,FEMJNS150,1
2642,FEMJNS200,3
2642,FEMJNS500,2
2642,FEMJNS544,1
2642,FEMJNS600,2
2642,FEMJNS660,1
2642,FEMJNS740,1
2642,FEMJNS760,1
2642,FEMOW1150,2
2642,FEMSHT100,1
2642,FEMSKT100,1
2642,FEMSKT150,1
2642,FEMSR1461,1
2642,FEMSR2100,5
2642,FEMTSH100,5
2642,FEMTSH150,1
2642,FEMTSH154,2
2642,FEMTSH260,1
2642,FEMTSH300,1
2642,FEMTSH380,3
2642,FEMWLT100,2
2642,FEMWLT499,1
2642,FEMWLT599,2
2642,KDBJN1100,1
2642,KDBJNS120,1
2642,KDBSR1500,1
2642,KDBSR2380,2
2642,KDBTS1176,1
2642,KDBTSH138,1
2642,KDBTSH198,1
2642,KDGDR2150,1
2642,KDGTS175,1
2642,KDGTSH152,1
2642,MLEBAG699,1
2642,MLEBLT100,5
2642,MLEBLT150,3
2642,MLECAP100,1
2642,MLEJNS150,5
2642,MLEJNS200,4
2642,MLEJNS410,1
2642,MLEJNS700,2
2642,MLEJNS800,1
2642,MLEKNT194,1
2642,MLEKNT460,1
2642,MLEKNT2498,1
2642,MLEOW2780,1
2642,MLESH2600,2
2642,MLESHT100,1
2642,MLETSH100,3
2642,MLETSH150,5
2642,MLETSH224,1
2642,MLETSH240,4
2642,MLETSH260,1
2642,MLETSH280,2
2642,MLETSH300,2
2642,MLETSH320,1
2642,MLETSH340,3
2642,MLETSH380,2
2642,MLETSH400,2
2642,MLETSH540,5
2642,MLETSH649,1
2642,MLETSH749,1
2642,MLETSH1298,2
2642,MLETSH1398,3
2642,MLEWLT100,2
2642,NWBJN1150,1
2642,NWBSET256,1
2642,NWBTS150,1
3746,BBBSR2272,1
3746,BBGDR2154,1
3746,BBGTSH138,1
3746,FEMBAG150,1
3746,FEMBAG1099,1
3746,FEMBAG1119,1
3746,FEMBAG1279,1
3746,FEMBLT100,1
3746,FEMJKT75,2
3746,FEMJKT300,1
3746,FEMJNS100,2
3746,FEMJNS150,5
3746,FEMJNS200,4
3746,FEMJNS262,1
3746,FEMJNS300,4
3746,FEMJNS389,1
3746,FEMJNS400,2
3746,FEMJNS450,1
3746,FEMJNS500,2
3746,FEMJNS560,1
3746,FEMJNS600,4
3746,FEMJNS700,2
3746,FEMJNS740,3
3746,FEMJNS780,1
3746,FEMJNS800,1
3746,FEMKNT75,1
3746,FEMKNT100,5
3746,FEMKNT150,1
3746,FEMOW1400,2
3746,FEMSH2200,1
3746,FEMSHO100,2
3746,FEMSHO200,1
3746,FEMSHT100,3
3746,FEMSHT150,3
3746,FEMSHT200,1
3746,FEMSKT100,4
3746,FEMSR1100,1
3746,FEMSR1200,1
3746,FEMSR1400,1
3746,FEMSR2200,1
3746,FEMTSH100,4
3746,FEMTSH142,1
3746,FEMTSH150,3
3746,FEMTSH300,1
3746,FEMTSH380,2
3746,FEMVST100,2
3746,FEMVST200,1
3746,FEMVST250,1
3746,KDBJNS400,2
3746,KDBJNS500,2
3746,KDBSR2340,1
3746,KDBTS1190,1
3746,KDBTSH158,1
3746,KDGBL350,1
3746,KDGDR1460,1
3746,KDGDR2300,1
3746,KDGDR2380,1
3746,KDGDR2400,1
3746,KDGJN180,1
3746,KDGJNS150,2
3746,KDGKNT260,1
